No	TMNo	EnNo	Name	INOUT	Mode	DateTime
272	1	7		0	5	2018/01/03 12:33:58
273	1	22		0	5	2018/01/03 12:34:07
274	1	4		0	5	2018/01/03 12:34:25
275	1	9		0	5	2018/01/03 12:34:27
276	1	9		0	5	2018/01/03 12:34:27
277	1	12		0	5	2018/01/03 12:37:14
278	1	21		0	5	2018/01/03 12:37:23
279	1	20		0	5	2018/01/03 12:37:32
280	1	20		0	5	2018/01/03 12:37:32
281	1	18		0	5	2018/01/03 12:37:49
282	1	18		0	5	2018/01/03 12:37:49
283	1	14		0	5	2018/01/03 12:39:55
284	1	24		0	5	2018/01/03 12:45:06
285	1	23		0	5	2018/01/03 12:45:12
286	1	5		0	5	2018/01/03 12:46:12
287	1	13		0	5	2018/01/03 12:46:37
288	1	13		0	5	2018/01/03 12:46:37
289	1	1		0	5	2018/01/03 12:46:51
290	1	26		0	5	2018/01/03 12:49:03
291	1	11		0	5	2018/01/03 12:49:57
292	1	15		0	5	2018/01/03 17:20:01
293	1	15		0	5	2018/01/03 17:20:01
294	1	9		0	6	2018/01/03 18:00:19
295	1	9		0	6	2018/01/03 18:00:19
296	1	26		0	6	2018/01/03 18:01:02
297	1	26		0	6	2018/01/03 18:01:02
298	1	21		0	6	2018/01/03 18:01:49
299	1	16		0	6	2018/01/03 18:01:55
300	1	17		0	6	2018/01/03 18:02:00
301	1	20		0	6	2018/01/03 18:02:08
302	1	6		0	6	2018/01/03 18:02:14
303	1	13		0	6	2018/01/03 18:04:32
304	1	13		0	6	2018/01/03 18:04:32
305	1	18		0	6	2018/01/03 18:06:26
306	1	18		0	6	2018/01/03 18:06:26
307	1	22		0	6	2018/01/03 18:06:29
308	1	24		0	6	2018/01/03 18:06:49
309	1	23		0	6	2018/01/03 18:06:54
310	1	25		0	6	2018/01/03 18:08:04
311	1	25		0	6	2018/01/03 18:08:04
312	1	4		0	6	2018/01/03 18:08:48
313	1	12		0	6	2018/01/03 18:17:15
314	1	1		0	6	2018/01/03 18:17:36
315	1	7		0	6	2018/01/03 18:25:57
316	1	7		0	6	2018/01/03 18:25:57
317	1	15		0	6	2018/01/03 18:26:08
318	1	3		0	6	2018/01/03 18:26:16
319	1	14		0	6	2018/01/03 18:26:18
320	1	10		0	6	2018/01/03 18:30:32
321	1	10		0	6	2018/01/03 18:30:32
322	1	5		0	6	2018/01/03 18:36:03
323	1	9		0	6	2018/01/03 18:36:09
324	1	8		0	6	2018/01/03 18:39:51
325	1	2		0	6	2018/01/03 22:50:36
326	1	11		0	6	2018/01/04 05:58:24
327	1	9		0	5	2018/01/04 07:56:15
328	1	24		0	5	2018/01/04 08:12:50
329	1	23		0	5	2018/01/04 08:24:01
330	1	23		0	5	2018/01/04 08:24:01
331	1	4		0	5	2018/01/04 08:30:37
332	1	4		0	5	2018/01/04 08:30:37
333	1	6		0	5	2018/01/04 08:35:42
334	1	25		0	5	2018/01/04 08:38:29
335	1	25		0	5	2018/01/04 08:38:29
336	1	5		0	5	2018/01/04 08:44:07
337	1	10		0	5	2018/01/04 08:51:00
338	1	10		0	5	2018/01/04 08:51:00
339	1	7		0	5	2018/01/04 08:57:01
340	1	7		0	5	2018/01/04 08:57:01
341	1	1		0	5	2018/01/04 08:59:36
342	1	20		0	5	2018/01/04 09:00:46
343	1	8		0	5	2018/01/04 09:06:00
344	1	17		0	5	2018/01/04 09:09:38
345	1	22		0	5	2018/01/04 09:11:05
346	1	18		0	5	2018/01/04 09:11:09
347	1	13		0	5	2018/01/04 09:11:14
